id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
10001,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2011,Casual,Palm Tree Kids Girls Sp Jema Skt Blue Skirts
10003,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Nike Eleme White T-Shirt
10004,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2011,Sports,Nike Men As 7 Sw Temp Grey Shorts
10005,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Sports,Nike Men As Ss Trainin Blue T-Shirts
10007,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Trophy Swo White T-Shirts
10018,Men,Apparel,Bottomwear,Shorts,Black,Fall,2012,Sports,Nike Men Black Three Quarter Track Pants
10029,Women,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011,Sports,Nike Women As Script Mas Navy Blue Sweatshirts
10050,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Usain Bolt Black Tshirts
10060,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men motor sport tee White Tshirts
10070,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Puma Women Large logo tee Pink Tshirts
10080,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Run Sheer Black Sports Shoes
